Week-WeekDay,Province,2017,2018,2019,2020
Week 17-3,Alberta,215366.0,217039.0,224249.0,null
Week 17-4,Alberta,216845.0,217261.0,224654.0,null
Week 17-5,Alberta,215617.0,217173.0,224395.0,null
Week 17-6,Alberta,213524.0,215115.0,223701.0,null
Week 17-7,Alberta,203895.0,208763.0,219396.0,null
Week 18-1,Alberta,201909.0,209392.0,212264.0,null
Week 18-2,Alberta,211592.0,214355.0,223052.0,null
Week 18-3,Alberta,208963.0,212120.0,227892.0,null
Week 18-4,Alberta,209640.0,212984.0,227509.0,null
Week 18-5,Alberta,210151.0,214476.0,226831.0,null
Week 18-6,Alberta,210537.0,214194.0,227451.0,null
Week 18-7,Alberta,205494.0,206685.0,223292.0,null
Week 19-1,Alberta,201245.0,205748.0,219764.0,null
Week 19-2,Alberta,208212.0,215356.0,224303.0,null
Week 19-3,Alberta,206744.0,216726.0,222149.0,null
Week 19-4,Alberta,207633.0,216282.0,222730.0,null
Week 19-5,Alberta,210457.0,219116.0,222125.0,null
Week 19-6,Alberta,213187.0,218359.0,217124.0,null
Week 19-7,Alberta,208889.0,211452.0,210066.0,null
