Product,Week,2018,2019,2020,2021,,
Forest Products,Week 47 (Nov-14),7274,4621,6312,null,,
Forest Products,Week 48 (Nov-21),7112,4505,6600,null,,
Forest Products,Week 49 (Nov-28),7162,6947,6720,null,,
Forest Products,Week 50 (Dec-05),7018,6761,6917,null,,
Forest Products,Week 51 (Dec-12),7464,6388,6381,null,,
Forest Products,Week 52 (Dec-19),4731,4979,5529,null,,
Grain,Week 1 (Dec-27),6557,7304,6729,10170,,
Grain,Week 2 (Jan-03),7362,8054,8158,null,,
Grain,Week 3 (Jan-10),9184,8945,5707,null,,
Grain,Week 4 (Jan-17),7327,7920,7314,null,,
Grain,Week 5 (Jan-24),8379,7591,7809,null,,
Grain,Week 6 (Jan-31),7255,7088,6559,null,,
Grain,Week 7 (Feb-07),7259,7833,6019,null,,
Grain,Week 8 (Feb-14),6156,7707,6984,null,,
Grain,Week 9 (Feb-21),7524,8637,6539,null,,
Grain,Week 10 (Feb-28),8301,6774,7072,null,,
Grain,Week 11 (Mar-07),8083,7861,7662,null,,
Grain,Week 12 (Mar-14),9174,8592,7661,null,,
Grain,Week 13 (Mar-21),8617,9353,8881,null,,
Grain,Week 14 (Mar-28),8909,11290,10339,null,,
Grain,Week 15 (Apr-04),9140,11444,10898,null,,
Grain,Week 16 (Apr-11),9039,10184,9280,null,,
Grain,Week 17 (Apr-18),8306,11169,10003,null,,
Grain,Week 18 (Apr-25),10135,9327,10320,null,,
Grain,Week 19 (May-2),9781,8854,9611,null,,
Grain,Week 20 (May-09),8559,8869,8713,null,,
Grain,Week 21 (May-16),9630,6923,9467,null,,
Grain,Week 22 (May-23),8403,9303,9113,null,,
Grain,Week 23 (May-30),8850,8623,9121,null,,
Grain,Week 24 (June-6),8955,9702,8775,null,,
Grain,Week 25 (June-13),8298,8368,9996,null,,
Grain,Week 26 (June-20),8564,9721,10322,null,,
Grain,Week 27 (Jun-27),6914,7282,9255,null,,
Grain,Week 28 (Jul-04),8722,9139,8703,null,,
Grain,Week 29 (Jul-11),9190,8112,9757,null,,
Grain,Week 30 (Jul-18),8376,8739,9945,null,,
Grain,Week 31 (Jul-25),9424,7660,9094,null,,
Grain,Week 32 (Aug-01),8933,7714,10021,null,,
Grain,Week 33 (Aug-08),8227,6958,8971,null,,
Grain,Week 34 (Aug-15),10256,7905,9004,null,,
Grain,Week 35(Aug-24),9890,7998,9469,null,,
Grain,Week 36(Aug-29),8474,6564,9518,null,,
Grain,Week 37(Sep-05),9578,7814,8871,null,,
Grain,Week 38(Sep-12),9412,7588,9585,null,,
Grain,Week 39(Sep-19),9532,8001,9770,null,,
Grain,Week 40(Sep-26),9989,9347,10254,null,,
Grain,Week 41(Oct-03),9076,8969,10638,null,,
Grain,Week 42 (Oct-10),9352,9479,11786,null,,
Grain,Week 43 (Oct-17),10218,9043,12489,null,,
Grain,Week 44 (Oct-24),10188,10196,11877,null,,
Grain,Week 45 (Oct-31),9039,9917,12879,null,,
Grain,Week 46 (Nov-07),10647,8957,11036,null,,
Grain,Week 47 (Nov-14),9115,9429,11652,null,,
Grain,Week 48 (Nov-21),9506,8065,12571,null,,
Grain,Week 49 (Nov-28),8679,10861,12434,null,,
Grain,Week 50 (Dec-05),9174,10080,11561,null,,
Grain,Week 51 (Dec-12),8974,9495,12686,null,,
Grain,Week 52 (Dec-19),7912,5827,8043,null,,
Metallic Ores and Metals,Week 1 (Dec-27),12419,15872,15333,14542,,
Metallic Ores and Metals,Week 2 (Jan-03),14939,16074,14031,null,,
Metallic Ores and Metals,Week 3 (Jan-10),13485,15508,15066,null,,
Metallic Ores and Metals,Week 4 (Jan-17),15212,14756,16047,null,,
Metallic Ores and Metals,Week 5 (Jan-24),15765,13542,16680,null,,
Metallic Ores and Metals,Week 6 (Jan-31),14637,14008,15466,null,,
Metallic Ores and Metals,Week 7 (Feb-07),13657,15310,15495,null,,
Metallic Ores and Metals,Week 8 (Feb-14),14921,16204,14644,null,,
Metallic Ores and Metals,Week 9 (Feb-21),15426,13837,15323,null,,
Metallic Ores and Metals,Week 10 (Feb-28),16653,15104,15773,null,,
Metallic Ores and Metals,Week 11 (Mar-07),14796,16051,16249,null,,
Metallic Ores and Metals,Week 12 (Mar-14),15303,15528,15796,null,,
Metallic Ores and Metals,Week 13 (Mar-21),15659,15443,16942,null,,
Metallic Ores and Metals,Week 14 (Mar-28),14932,15318,14741,null,,
Metallic Ores and Metals,Week 15 (Apr-04),15558,14399,14242,null,,
Metallic Ores and Metals,Week 16 (Apr-11),14324,14501,15698,null,,
Metallic Ores and Metals,Week 17 (Apr-18),14970,16176,14816,null,,
Metallic Ores and Metals,Week 18 (Apr-25),14752,15719,14002,null,,
Metallic Ores and Metals,Week 19 (May-2),14563,15605,12527,null,,
Metallic Ores and Metals,Week 20 (May-09),15186,15319,12286,null,,
Metallic Ores and Metals,Week 21 (May-16),15303,15964,13446,null,,
Metallic Ores and Metals,Week 22 (May-23),15536,15899,13187,null,,
Metallic Ores and Metals,Week 23 (May-30),14248,15147,12600,null,,
Metallic Ores and Metals,Week 24 (June-6),16453,16141,14248,null,,
Metallic Ores and Metals,Week 25 (June-13),15762,16215,13734,null,,
Metallic Ores and Metals,Week 26 (June-20),17285,16903,14520,null,,
Metallic Ores and Metals,Week 27 (Jun-27),15681,16141,14388,null,,
Metallic Ores and Metals,Week 28 (Jul-04),15215,16432,12447,null,,
Metallic Ores and Metals,Week 29 (Jul-11),16456,15407,12904,null,,
Metallic Ores and Metals,Week 30 (Jul-18),15924,15919,13659,null,,
Metallic Ores and Metals,Week 31 (Jul-25),17061,15126,13053,null,,
Metallic Ores and Metals,Week 32 (Aug-01),15087,14694,13807,null,,
Metallic Ores and Metals,Week 33 (Aug-08),16074,14045,13959,null,,
Metallic Ores and Metals,Week 34 (Aug-15),15982,15828,13940,null,,
Metallic Ores and Metals,Week 35(Aug-24),16699,17508,12928,null,,
Metallic Ores and Metals,Week 36(Aug-29),14723,16031,15596,null,,
Metallic Ores and Metals,Week 37(Sep-05),12696,16791,15737,null,,
Metallic Ores and Metals,Week 38(Sep-12),15351,15939,16672,null,,
Metallic Ores and Metals,Week 39(Sep-19),16493,15266,15084,null,,
Metallic Ores and Metals,Week 40(Sep-26),15921,10614,14824,null,,
Metallic Ores and Metals,Week 41(Oct-03),16026,14625,14917,null,,
Metallic Ores and Metals,Week 42 (Oct-10),15949,12790,16209,null,,
Metallic Ores and Metals,Week 43 (Oct-17),17054,14542,15929,null,,
Metallic Ores and Metals,Week 44 (Oct-24),16079,14584,10148,null,,
Metallic Ores and Metals,Week 45 (Oct-31),16475,14220,12685,null,,
Metallic Ores and Metals,Week 46 (Nov-07),16099,15358,16265,null,,
Metallic Ores and Metals,Week 47 (Nov-14),15909,14700,15497,null,,
Metallic Ores and Metals,Week 48 (Nov-21),16301,14694,15314,null,,
Metallic Ores and Metals,Week 49 (Nov-28),14740,15174,15299,null,,
Metallic Ores and Metals,Week 50 (Dec-05),14666,13840,16543,null,,
Metallic Ores and Metals,Week 51 (Dec-12),17061,14872,15804,null,,
Metallic Ores and Metals,Week 52 (Dec-19),14655,14711,12380,null,,
Motor Vehicles and Parts,Week 1 (Dec-27),3485,3767,2426,2540,,
Motor Vehicles and Parts,Week 2 (Jan-03),4844,5391,4557,null,,
Motor Vehicles and Parts,Week 3 (Jan-10),4729,5788,4670,null,,
Motor Vehicles and Parts,Week 4 (Jan-17),5317,4551,4734,null,,
Motor Vehicles and Parts,Week 5 (Jan-24),5200,4581,5773,null,,
Motor Vehicles and Parts,Week 6 (Jan-31),4891,5439,5259,null,,
Motor Vehicles and Parts,Week 7 (Feb-07),5285,5475,5632,null,,
Motor Vehicles and Parts,Week 8 (Feb-14),5143,4593,5039,null,,
Motor Vehicles and Parts,Week 9 (Feb-21),5643,5310,4670,null,,
Motor Vehicles and Parts,Week 10 (Feb-28),5365,5488,6047,null,,
Motor Vehicles and Parts,Week 11 (Mar-07),5690,5170,5900,null,,
Motor Vehicles and Parts,Week 12 (Mar-14),5885,5696,5158,null,,
Motor Vehicles and Parts,Week 13 (Mar-21),5356,5759,1625,null,,
Motor Vehicles and Parts,Week 14 (Mar-28),5738,5669,1043,null,,
Motor Vehicles and Parts,Week 15 (Apr-04),5963,6156,807,null,,
Motor Vehicles and Parts,Week 16 (Apr-11),5628,5246,396,null,,
Motor Vehicles and Parts,Week 17 (Apr-18),6069,5795,504,null,,
Motor Vehicles and Parts,Week 18 (Apr-25),6075,6696,625,null,,
Motor Vehicles and Parts,Week 19 (May-2),5880,6201,489,null,,
Motor Vehicles and Parts,Week 20 (May-09),5722,6375,420,null,,
Motor Vehicles and Parts,Week 21 (May-16),5197,5417,1159,null,,
Motor Vehicles and Parts,Week 22 (May-23),5249,5617,2349,null,,
Motor Vehicles and Parts,Week 23 (May-30),5790,5617,3437,null,,
Motor Vehicles and Parts,Week 24 (June-6),5918,5678,3874,null,,
Motor Vehicles and Parts,Week 25 (June-13),5711,6051,4306,null,,
Motor Vehicles and Parts,Week 26 (June-20),5579,5496,4449,null,,
Motor Vehicles and Parts,Week 27 (Jun-27),3564,3588,3842,null,,
Motor Vehicles and Parts,Week 28 (Jul-04),4697,4340,4566,null,,
Motor Vehicles and Parts,Week 29 (Jul-11),4322,4257,4626,null,,
Motor Vehicles and Parts,Week 30 (Jul-18),4674,5600,4937,null,,
Motor Vehicles and Parts,Week 31 (Jul-25),4990,5465,4864,null,,
Motor Vehicles and Parts,Week 32 (Aug-01),4692,5346,4701,null,,
Motor Vehicles and Parts,Week 33 (Aug-08),5164,6024,5032,null,,
Motor Vehicles and Parts,Week 34 (Aug-15),5465,5698,5006,null,,
Motor Vehicles and Parts,Week 35(Aug-24),5385,6051,4928,null,,
Motor Vehicles and Parts,Week 36(Aug-29),4889,4746,5242,null,,
Motor Vehicles and Parts,Week 37(Sep-05),5284,5644,4883,null,,
Motor Vehicles and Parts,Week 38(Sep-12),5011,5553,6055,null,,
Motor Vehicles and Parts,Week 39(Sep-19),5444,5489,5534,null,,
Motor Vehicles and Parts,Week 40(Sep-26),5647,5524,5347,null,,
