Day,Province,Year,Demand
3-1,Ontario,2019,"393,477"
3-2,Ontario,2019,"415,996"
3-3,Ontario,2019,"411,116"
3-4,Ontario,2019,"410,850"
3-5,Ontario,2019,"427,858"
3-6,Ontario,2019,"419,964"
3-7,Ontario,2019,"427,568"
4-1,Ontario,2019,"429,601"
4-2,Ontario,2019,"464,000"
4-3,Ontario,2019,"451,280"
4-4,Ontario,2019,"422,409"
4-5,Ontario,2019,"408,951"
4-6,Ontario,2019,"413,286"
4-7,Ontario,2019,"411,453"
5-1,Ontario,2019,"407,035"
5-2,Ontario,2019,"451,354"
5-3,Ontario,2019,"435,323"
5-4,Ontario,2019,"443,435"
5-5,Ontario,2019,"454,793"
5-6,Ontario,2019,"447,631"
5-7,Ontario,2019,"407,711"
6-1,Ontario,2019,"376,226"
6-2,Ontario,2019,"383,407"
6-3,Ontario,2019,"395,605"
6-4,Ontario,2019,"423,587"
6-5,Ontario,2019,"409,439"
6-6,Ontario,2019,"405,649"
6-7,Ontario,2019,"398,549"
7-1,Ontario,2019,"392,917"
7-2,Ontario,2019,"412,935"
7-3,Ontario,2019,"426,734"
7-4,Ontario,2019,"412,462"
7-5,Ontario,2019,"406,119"
7-6,Ontario,2019,"394,541"
7-7,Ontario,2019,"378,653"
8-1,Ontario,2019,"380,602"
8-2,Ontario,2019,"387,384"
8-3,Ontario,2019,"419,712"
8-4,Ontario,2019,"419,555"
8-5,Ontario,2019,"398,554"
8-6,Ontario,2019,"394,468"
8-7,Ontario,2019,"364,944"
9-1,Ontario,2019,"368,466"
9-2,Ontario,2019,"404,359"
9-3,Ontario,2019,"419,524"
9-4,Ontario,2019,"439,247"
9-5,Ontario,2019,"422,764"
9-6,Ontario,2019,"401,859"
9-7,Ontario,2019,"386,322"
10-1,Ontario,2019,"378,099"
10-2,Ontario,2019,"411,548"
10-3,Ontario,2019,"423,964"
10-4,Ontario,2019,"424,822"
10-5,Ontario,2019,"418,633"
10-6,Ontario,2019,"404,506"
10-7,Ontario,2019,"366,408"
11-1,Ontario,2019,"370,002"
11-2,Ontario,2019,"388,459"
11-3,Ontario,2019,"374,656"
11-4,Ontario,2019,"387,082"
11-5,Ontario,2019,"371,002"
11-6,Ontario,2019,"366,993"
11-7,Ontario,2019,"355,051"
12-1,Ontario,2019,"354,402"
12-2,Ontario,2019,"380,121"
12-3,Ontario,2019,"375,107"
12-4,Ontario,2019,"365,809"
12-5,Ontario,2019,"375,368"
12-6,Ontario,2019,"368,611"
12-7,Ontario,2019,"345,789"
13-1,Ontario,2019,"342,322"
13-2,Ontario,2019,"366,069"
13-3,Ontario,2019,"371,605"
13-4,Ontario,2019,"362,030"
13-5,Ontario,2019,"363,112"
13-6,Ontario,2019,"349,101"
13-7,Ontario,2019,"354,853"
14-1,Ontario,2019,"354,973"
14-2,Ontario,2019,"369,544"
14-3,Ontario,2019,"359,898"
14-4,Ontario,2019,"354,756"
14-5,Ontario,2019,"365,340"
14-6,Ontario,2019,"373,500"
14-7,Ontario,2019,"328,877"
1-1,Ontario,2020,
1-2,Ontario,2020,
1-3,Ontario,2020,
1-4,Ontario,2020,"338,635"
1-5,Ontario,2020,"362,851"
1-6,Ontario,2020,"369,581"
1-7,Ontario,2020,"361,837"
2-1,Ontario,2020,"359,681"
2-2,Ontario,2020,"388,047"
2-3,Ontario,2020,"390,269"
2-4,Ontario,2020,"405,317"
2-5,Ontario,2020,"418,122"
2-6,Ontario,2020,"391,778"
2-7,Ontario,2020,"371,135"
3-1,Ontario,2020,"385,077"
3-2,Ontario,2020,"411,467"
3-3,Ontario,2020,"402,629"
3-4,Ontario,2020,"396,283"
3-5,Ontario,2020,"401,285"
3-6,Ontario,2020,"426,638"
3-7,Ontario,2020,"407,684"
4-1,Ontario,2020,"391,387"
4-2,Ontario,2020,"421,821"
4-3,Ontario,2020,"418,194"
4-4,Ontario,2020,"408,436"
4-5,Ontario,2020,"400,738"
4-6,Ontario,2020,"385,809"
4-7,Ontario,2020,"374,600"
5-1,Ontario,2020,"365,586"
5-2,Ontario,2020,"395,676"
5-3,Ontario,2020,"401,621"
5-4,Ontario,2020,"404,735"
5-5,Ontario,2020,"412,524"
5-6,Ontario,2020,"409,132"
5-7,Ontario,2020,"376,088"
6-1,Ontario,2020,"366,939"
6-2,Ontario,2020,"378,797"
6-3,Ontario,2020,"389,559"
6-4,Ontario,2020,"397,843"
6-5,Ontario,2020,"411,746"
6-6,Ontario,2020,"411,074"
6-7,Ontario,2020,"403,304"
7-1,Ontario,2020,"390,531"
7-2,Ontario,2020,"397,206"
7-3,Ontario,2020,"389,183"
7-4,Ontario,2020,"387,492"
7-5,Ontario,2020,"408,658"
7-6,Ontario,2020,"426,344"
7-7,Ontario,2020,"386,545"
8-1,Ontario,2020,"357,473"
8-2,Ontario,2020,"361,327"
8-3,Ontario,2020,"393,991"
8-4,Ontario,2020,"395,359"
8-5,Ontario,2020,"408,349"
8-6,Ontario,2020,"390,581"
8-7,Ontario,2020,"350,701"
9-1,Ontario,2020,"333,000"
9-2,Ontario,2020,"365,112"
9-3,Ontario,2020,"378,661"
9-4,Ontario,2020,"395,614"
9-5,Ontario,2020,"401,546"
9-6,Ontario,2020,"403,751"
9-7,Ontario,2020,"383,046"
10-1,Ontario,2020,"365,941"
10-2,Ontario,2020,"379,386"
10-3,Ontario,2020,"386,217"
10-4,Ontario,2020,"375,838"
10-5,Ontario,2020,"371,054"
10-6,Ontario,2020,"381,843"
10-7,Ontario,2020,"353,360"
11-1,Ontario,2020,"328,087"
11-2,Ontario,2020,"345,524"
11-3,Ontario,2020,"360,643"
11-4,Ontario,2020,"377,682"
11-5,Ontario,2020,"367,190"
11-6,Ontario,2020,"359,640"
11-7,Ontario,2020,"351,512"
12-1,Ontario,2020,"338,808"
12-2,Ontario,2020,"368,305"
12-3,Ontario,2020,
12-4,Ontario,2020,
12-5,Ontario,2020,
12-6,Ontario,2020,
12-7,Ontario,2020,
13-1,Ontario,2020,
13-2,Ontario,2020,
13-3,Ontario,2020,
13-4,Ontario,2020,
13-5,Ontario,2020,
13-6,Ontario,2020,
13-7,Ontario,2020,
14-1,Ontario,2020,
14-2,Ontario,2020,
14-3,Ontario,2020,
14-4,Ontario,2020,
14-5,Ontario,2020,
14-6,Ontario,2020,
14-7,Ontario,2020,
1-1,Alberta,2017,235155
1-2,Alberta,2017,247051
1-3,Alberta,2017,254852
1-4,Alberta,2017,250481
1-5,Alberta,2017,248501
1-6,Alberta,2017,252453
1-7,Alberta,2017,248775
2-1,Alberta,2017,247328
2-2,Alberta,2017,254837
2-3,Alberta,2017,256954
2-4,Alberta,2017,253558
2-5,Alberta,2017,250984
2-6,Alberta,2017,245952
2-7,Alberta,2017,233753
3-1,Alberta,2017,227385
3-2,Alberta,2017,237699
3-3,Alberta,2017,233179
3-4,Alberta,2017,233943
3-5,Alberta,2017,236793
3-6,Alberta,2017,236048
3-7,Alberta,2017,236027
4-1,Alberta,2017,239044
4-2,Alberta,2017,247415
4-3,Alberta,2017,244923
4-4,Alberta,2017,242984
4-5,Alberta,2017,239223
4-6,Alberta,2017,236626
4-7,Alberta,2017,227930
