Date,Province,Confirmed,Deaths
Jun-01,New Brunswick,132,0
Jun-02,New Brunswick,133,0
Jun-03,New Brunswick,135,0
Jun-04,New Brunswick,136,1
Jun-05,New Brunswick,136,1
Jun-06,New Brunswick,136,1
Jun-07,New Brunswick,137,1
Jun-08,New Brunswick,146,1
Jan-22,Newfoundland and Labrador,0,0
Jan-23,Newfoundland and Labrador,0,0
Jan-24,Newfoundland and Labrador,0,0
Jan-25,Newfoundland and Labrador,0,0
Jan-26,Newfoundland and Labrador,0,0
Jan-27,Newfoundland and Labrador,0,0
Jan-28,Newfoundland and Labrador,0,0
Jan-29,Newfoundland and Labrador,0,0
Jan-30,Newfoundland and Labrador,0,0
Jan-31,Newfoundland and Labrador,0,0
Feb-01,Newfoundland and Labrador,0,0
Feb-02,Newfoundland and Labrador,0,0
Feb-03,Newfoundland and Labrador,0,0
Feb-04,Newfoundland and Labrador,0,0
Feb-05,Newfoundland and Labrador,0,0
Feb-06,Newfoundland and Labrador,0,0
Feb-07,Newfoundland and Labrador,0,0
Feb-08,Newfoundland and Labrador,0,0
Feb-09,Newfoundland and Labrador,0,0
Feb-10,Newfoundland and Labrador,0,0
Feb-11,Newfoundland and Labrador,0,0
Feb-12,Newfoundland and Labrador,0,0
Feb-13,Newfoundland and Labrador,0,0
Feb-14,Newfoundland and Labrador,0,0
Feb-15,Newfoundland and Labrador,0,0
Feb-16,Newfoundland and Labrador,0,0
Feb-17,Newfoundland and Labrador,0,0
Feb-18,Newfoundland and Labrador,0,0
Feb-19,Newfoundland and Labrador,0,0
Feb-20,Newfoundland and Labrador,0,0
Feb-21,Newfoundland and Labrador,0,0
Feb-22,Newfoundland and Labrador,0,0
Feb-23,Newfoundland and Labrador,0,0
Feb-24,Newfoundland and Labrador,0,0
Feb-25,Newfoundland and Labrador,0,0
Feb-26,Newfoundland and Labrador,0,0
Feb-27,Newfoundland and Labrador,0,0
Feb-28,Newfoundland and Labrador,0,0
Feb-29,Newfoundland and Labrador,0,0
Mar-01,Newfoundland and Labrador,0,0
Mar-02,Newfoundland and Labrador,0,0
Mar-03,Newfoundland and Labrador,0,0
Mar-04,Newfoundland and Labrador,0,0
Mar-05,Newfoundland and Labrador,0,0
Mar-06,Newfoundland and Labrador,0,0
Mar-07,Newfoundland and Labrador,0,0
Mar-08,Newfoundland and Labrador,0,0
Mar-09,Newfoundland and Labrador,0,0
